[INFO] [2024-12-31 01:18:37,368] [DBTune-sbwrite_ddpg_softmax_False_transformer_False] Start new DBTune task
[INFO] [2024-12-31 01:19:39,601] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:40,604] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:41,612] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:42,617] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:43,620] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:44,628] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:45,633] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:46,639] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:47,647] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:48,653] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:49,659] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:50,665] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:51,671] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:52,677] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:53,681] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:54,684] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:55,688] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:56,695] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:57,700] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:58,705] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:19:59,711] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:00,713] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:01,717] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:02,724] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:03,726] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:04,734] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:05,739] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:06,744] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:07,748] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:08,753] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:09,757] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:10,762] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-12-31 01:20:11,804] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:12,810] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:13,816] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:14,822] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:15,825] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:16,834] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:17,840] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:18,843] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:19,849] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:20,854] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:21,861] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:22,864] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:23,871] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:24,877] [autotune] 1049 (42000): Unknown database 'sbwrite'
[INFO] [2024-12-31 01:20:25,151] [DBTune-sbwrite_ddpg_softmax_False_transformer_False] Iteration 1, objective value: [2147483647].
[INFO] [2024-12-31 01:20:25,190] [DBTune-sbwrite_ddpg_softmax_False_transformer_False] [Iteration 1] [1,10] Total space size:5.885367239708822e+297
